2026-01-02 12:40:33,985 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.zensoup.ulauncher-unicode"
2026-01-02 12:40:34,163 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.katacarbix.ulauncher-dict-en" connected
2026-01-02 12:40:34,163 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.katacarbix.ulauncher-dict-en"
2026-01-02 12:40:40,904 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "ddterm" (/home/kal/.local/share/applications/com.github.amezin.ddterm.desktop)
2026-01-02 12:41:18,836 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/vim.desktop)
2026-01-02 12:41:24,914 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Vim" (/usr/share/applications/vim.desktop)
2026-01-02 12:49:33,245 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2026-01-02 12:49:33,245 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2026-01-02 12:49:33,246 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:49:33,815 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "Alacritty" for "Alacritty"
2026-01-02 12:49:33,986 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "vscodium" for "vscodium"
2026-01-02 12:49:34,009 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "vscodium" for "vscodium"
2026-01-02 12:49:34,108 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2026-01-02 12:49:38,040 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:49:49,661 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2026-01-02 12:49:49,661 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2026-01-02 12:49:49,663 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:49:50,247 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2026-01-02 12:49:51,310 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:49:53,034 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2026-01-02 12:49:59,474 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2026-01-02 12:49:59,475 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2026-01-02 12:49:59,488 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:49:59,990 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2026-01-02 12:50:00,874 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:57:38,933 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2026-01-02 12:57:38,933 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2026-01-02 12:57:38,934 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:57:39,407 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2026-01-02 12:57:42,024 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:57:52,235 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2026-01-02 12:57:52,236 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
